Name	Sample	ARG	Completeness	Contamination	Contig_Number	phylum	class	order	family	genus	species
EFF1_metabat2.988	EFF1	NA	99.74	1.12	7	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rhodoferax	NA
EFF1_metabat2.433	EFF1	NA	97.04	1.69	7	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	JAEUNL01	JAEUNL01 sp016707455
EFF1_metabat2.725	EFF1	NA	94.12	0.16	7	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Aquabacterium_A	NA
EFF1_metabat2.542	EFF1	NA	79.06	0.35	7	Patescibacteria	Saccharimonadia	Saccharimonadales	AWTP1-31	AWTP1-31	NA
EFF1_semibin2_24	EFF1	NA	87.85	0.6	8	Patescibacteria	Saccharimonadia	Saccharimonadales	UBA5946	NA	NA
EFF1_semibin2_6	EFF1	NA	84.52	0.27	9	Omnitrophota	Koll11	UBA6215	UBA6215	UBA6215	UBA6215 sp017992785
EFF1_metabat2.426	EFF1	NA	77.7	6.82	9	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	NA
EFF1_semibin2_15	EFF1	NA	72.74	4.53	10	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Azonexus	Azonexus sp016709495
EFF1_metabat2.453	EFF1	NA	70.53	2.17	11	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	ELB16-189	NA
EFF1_metabat2.595	EFF1	NA	74.66	3.21	14	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Cloacibacterium	NA
EFF1_metabat2.587	EFF1	NA	73.1	2.3	14	Desulfobacterota_G	Syntrophorhabdia	Syntrophorhabdales	Syntrophorhabdaceae	MWEV01	MWEV01 sp002071245
EFF1_metabat2.588	EFF1	NA	87.2	1.36	15	Bdellovibrionota	Bacteriovoracia	Bacteriovoracales	Bacteriovoracaceae	Bacteriovorax	NA
EFF1_semibin2_46	EFF1	NA	74.25	9.67	15	Patescibacteria	Saccharimonadia	Saccharimonadales	UBA7683	NA	NA
EFF1_semibin2_3	EFF1	NA	88.05	0.22	20	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira_A	Nitrospira_A sp017986555
EFF2_complete.20	EFF2	vanM_1_FJ349556	100	0.72	1	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_F	NA
EFF2_complete.40	EFF2	NA	100	0.88	1	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	NA
EFF2_complete.47	EFF2	NA	100	0.16	1	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Fuscovulum	Fuscovulum blasticum
EFF2_complete.55	EFF2	NA	100	0.49	1	Patescibacteria	Paceibacteria	UBA9983_A	UBA9973	JAGOQQ01	NA
EFF2_complete.8	EFF2	NA	100	1.75	1	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	NA
EFF2_complete.14	EFF2	NA	99.99	0.31	1	Bacteroidota	Bacteroidia	AKYH767	UBA4408	UBA4408	NA
EFF2_complete.3	EFF2	NA	99.97	1.08	1	Bdellovibrionota	Bacteriovoracia	Bacteriovoracales	Bacteriovoracaceae	Bacteriovorax	NA
EFF2_complete.31	EFF2	NA	99.78	0.49	1	Patescibacteria	Saccharimonadia	Saccharimonadales	AWTP1-31	AWTP1-31	NA
EFF2_complete.80	EFF2	NA	99.69	0.01	1	Proteobacteria	Gammaproteobacteria	Burkholderiales	Q3-R57-64	Q3-R57-64	NA
EFF2_complete.73	EFF2	NA	99.46	0.29	1	Patescibacteria	Paceibacteria	UBA9983_A	UBA9973	UBA4124	NA
EFF2_complete.91	EFF2	NA	98.67	0.18	1	Patescibacteria	Saccharimonadia	Saccharimonadales	UBA1547	UBA1547	NA
EFF2_complete.22	EFF2	NA	96.78	0.71	1	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	NA
EFF2_semibin2_25	EFF2	NA	84.48	0.11	1	Patescibacteria	Paceibacteria	UBA9983_A	UBA5272	UBA11704	NA
EFF2_semibin2_3	EFF2	NA	78.21	0.16	1	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	Nitrosomonas	Nitrosomonas sp017994575
EFF2_metabat2.200	EFF2	NA	98.51	0.04	2	Patescibacteria	Paceibacteria	UBA9983_A	UBA9973	UBA8515	NA
EFF2_metabat2.448	EFF2	NA	97.83	0.52	2	Patescibacteria	Paceibacteria	UBA9983_A	UBA918	OLB19	NA
EFF2_metabat2.239	EFF2	NA	87.96	1.2	2	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	Microtrichaceae	AWTP1-35	NA
EFF2_metabat2.631	EFF2	NA	78.81	0.3	2	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Novimethylophilus	NA
EFF2_semibin2_1	EFF2	NA	99.98	6.76	3	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Methylotenera	NA
EFF2_metabat2.545	EFF2	NA	99.91	2.94	3	Bacteroidota	Bacteroidia	AKYH767-A	OLB10	CAINEC01	NA
EFF2_metabat2.528	EFF2	NA	97.91	2.22	3	Patescibacteria	Paceibacteria	UBA9983_A	UBA9973	UBA4124	NA
EFF2_metabat2.583	EFF2	NA	78.41	3.02	3	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Cloacibacterium	NA
EFF2_metabat2.104	EFF2	NA	76.77	0.08	3	Patescibacteria	Saccharimonadia	CAILAD01	GCA-016700035	NA	NA
EFF2_metabat2.761	EFF2	NA	75.89	0.08	3	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	NA
EFF2_metabat2.170	EFF2	NA	73.53	0.37	3	Patescibacteria	JAEDAM01	BD1-5	UBA2023	JABFSX01	NA
EFF2_metabat2.759	EFF2	NA	100	5.28	4	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Azonexus	Azonexus sp016709965
EFF2_semibin2_2	EFF2	NA	96.4	3.36	4	Bacteroidota	Bacteroidia	Cytophagales	NA	NA	NA
EFF2_metabat2.776	EFF2	NA	76.49	0.07	4	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	DMER64	DMER64 sp002305545
EFF2_metabat2.511	EFF2	NA	89.74	0.11	5	Patescibacteria	Paceibacteria	UBA9983_A	UBA1006	NA	NA
EFF2_metabat2.190	EFF2	NA	89.52	0.44	5	Patescibacteria	Paceibacteria	UBA9983_A	UBA9973	UBA4124	NA
EFF2_semibin2_5	EFF2	NA	99.67	0.28	6	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira_A	Nitrospira_A sp017986555
EFF2_metabat2.440	EFF2	NA	93.93	4.59	6	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rhodoferax	NA
EFF2_metabat2.320	EFF2	NA	73.46	0.73	6	Patescibacteria	JAEDAM01	BD1-5	UBA2023	JAGOMW01	NA
EFF2_semibin2_9	EFF2	ant(3'')-Ia_1_X02340	79.96	0.52	7	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Fluviibacter	Fluviibacter phosphoraccumulans
EFF2_metabat2.665	EFF2	NA	74.93	1.9	7	Patescibacteria	Paceibacteria	UBA9983_A	UBA9973	UBA4124	NA
EFF2_metabat2.417	EFF2	NA	87.71	3.47	8	Patescibacteria	Paceibacteria	UBA9983_A	UBA9973	JAGOSA01	NA
EFF2_semibin2_38	EFF2	NA	83.54	3.16	9	Patescibacteria	Paceibacteria	UBA9983_A	XYD1-FULL-46-19	NA	NA
EFF2_metabat2.173	EFF2	NA	93.35	0.08	10	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Aquabacterium_A	NA
EFF2_semibin2_41	EFF2	NA	71.94	8.69	11	Patescibacteria	Saccharimonadia	Saccharimonadales	JACDFO01	NA	NA
EFF2_semibin2_34	EFF2	NA	90.81	1.71	13	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Piscinibacter	NA
EFF2_metabat2.388	EFF2	NA	76.23	0.35	13	Proteobacteria	Alphaproteobacteria	Rickettsiales	Midichloriaceae	NA	NA
EFF2_metabat2.300	EFF2	NA	77.79	0.09	16	Bacteroidota	Bacteroidia	Chitinophagales	JADIYW01	JADJSS01	NA
EFF2_metabat2.491	EFF2	NA	74.17	2.65	16	Proteobacteria	Gammaproteobacteria	Burkholderiales	Gallionellaceae	Nitrotoga	NA
EFF2_metabat2.32	EFF2	NA	93.99	2.85	17	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	JAEUNL01	JAEUNL01 sp016707455
EFF2_metabat2.348	EFF2	NA	78.09	2.42	18	Proteobacteria	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	NA	NA
EFF2_metabat2.421	EFF2	NA	74.1	4.68	20	Bacteroidota	Bacteroidia	AKYH767-A	2013-40CM-41-45	JADKIH01	JADKIH01 sp016708785
EFF3_complete.51	EFF3	NA	100	1.03	1	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	NA
EFF3_complete.53	EFF3	NA	100	0.29	1	Patescibacteria	Paceibacteria	UBA9983_A	UBA9973	UBA4124	NA
EFF3_complete.7	EFF3	NA	100	1.76	1	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	NA
EFF3_complete.15	EFF3	NA	99.99	1.58	1	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	NA
EFF3_complete.38	EFF3	NA	99.77	1.45	1	Bdellovibrionota	Bacteriovoracia	Bacteriovoracales	Bacteriovoracaceae	Bacteriovorax	NA
EFF3_complete.14	EFF3	NA	99.69	0.21	1	Patescibacteria	Saccharimonadia	Saccharimonadales	UBA4665	NA	NA
EFF3_complete.16	EFF3	NA	99.61	0.49	1	Patescibacteria	Saccharimonadia	Saccharimonadales	AWTP1-31	AWTP1-31	NA
EFF3_complete.60	EFF3	NA	97.96	0.07	1	Proteobacteria	Gammaproteobacteria	Burkholderiales	Q3-R57-64	Q3-R57-64	NA
EFF3_complete.85	EFF3	NA	97.69	0.24	1	Patescibacteria	Paceibacteria	UBA9983_A	UBA1006	NA	NA
EFF3_complete.67	EFF3	NA	97.66	2.01	1	Bacteroidota	Bacteroidia	Cytophagales	NA	NA	NA
EFF3_complete.43	EFF3	NA	97.38	0.14	1	Patescibacteria	Paceibacteria	UBA9983_A	UBA9973	UBA8515	NA
EFF3_complete.6	EFF3	NA	97.13	0.13	1	Patescibacteria	Paceibacteria	UBA9983_A	UBA9973	UBA4124	NA
EFF3_complete.72	EFF3	NA	94.89	0.59	1	Patescibacteria	Paceibacteria	UBA9983_A	UBA918	OLB19	NA
EFF3_metabat2.66	EFF3	NA	71.2	1	1	Proteobacteria	Alphaproteobacteria	Rickettsiales	AB1-6	AB1-6	NA
EFF3_semibin2_31	EFF3	NA	70.59	0.19	1	Patescibacteria	Paceibacteria	UBA9983_A	UBA9973	UBA8515	NA
EFF3_metabat2.82	EFF3	NA	98.67	0.25	2	Patescibacteria	Saccharimonadia	Saccharimonadales	UBA1547	UBA6175	NA
EFF3_metabat2.287	EFF3	NA	90.39	1.5	2	Cyanobacteria	Sericytochromatia	UBA7694	JACMQJ01	NA	NA
EFF3_metabat2.694	EFF3	NA	80.74	0.59	2	Patescibacteria	Paceibacteria	UBA9983_A	UBA9973	JAGOQQ01	NA
EFF3_metabat2.461	EFF3	NA	75.78	0.23	3	Patescibacteria	Paceibacteria	UBA9983_A	CAIZLB01	CAIZLB01	NA
EFF3_metabat2.167	EFF3	NA	84.71	3.09	4	Patescibacteria	JAEDAM01	BD1-5	UBA2023	JAGOMW01	NA
EFF3_metabat2.358	EFF3	NA	72.85	2.6	4	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rhodoferax	NA
EFF3_metabat2.336	EFF3	NA	87.58	5.18	5	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rhodoferax	NA
EFF3_metabat2.470	EFF3	NA	72.6	0.21	5	Bacteroidota	Bacteroidia	AKYH767	UBA4408	UBA4408	NA
EFF3_semibin2_6	EFF3	NA	91.36	8.77	6	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Methylotenera	NA
EFF3_metabat2.477_sub	EFF3	NA	83.81	1.82	6	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	Microtrichaceae	AWTP1-35	NA
EFF3_semibin2_20	EFF3	NA	82.38	3.44	6	Patescibacteria	Saccharimonadia	Saccharimonadales	JACDFO01	NA	NA
EFF3_metabat2.448	EFF3	NA	81	0.97	6	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	NA
EFF3_semibin2_101	EFF3	NA	70.99	7.51	6	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	Nitrosomonas	Nitrosomonas sp017994575
EFF3_metabat2.608	EFF3	NA	85.48	1.65	8	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	JAEUNL01	JAEUNL01 sp016707455
EFF3_metabat2.242	EFF3	NA	89.86	3.49	9	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Novimethylophilus	NA
EFF3_semibin2_2	EFF3	NA	84.72	3.38	10	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Methylotenera	NA
EFF3_metabat2.271	EFF3	NA	97.79	1.35	11	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Cloacibacterium	NA
EFF3_semibin2_1	EFF3	NA	92.8	3.1	11	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	NA
EFF3_semibin2_5	EFF3	NA	84.13	0.57	11	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	UBA1930	UBA1930 sp018061385
EFF3_metabat2.103	EFF3	NA	74.91	0.62	11	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Piscinibacter	NA
EFF3_metabat2.371	EFF3	NA	87.37	1.56	17	Bacteroidota	Bacteroidia	Chitinophagales	JADIYW01	JADJSS01	NA
EFF3_metabat2.344	EFF3	NA	83.85	0.1	20	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Fluviicola	NA
INF1_metabat2.530	INF1	NA	100	0.17	3	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Fuscovulum	Fuscovulum blasticum
INF1_metabat2.400_sub	INF1	NA	81.64	8.6	14	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	NA
INF2_complete.5	INF2	NA	100	0.16	1	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Fuscovulum	Fuscovulum blasticum
INF2_metabat2.170_sub	INF2	NA	76.3	2.64	9	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	NA
INF3_complete.2	INF3	NA	100	0.07	1	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Cloacibacterium	NA
INF3_complete.7	INF3	NA	99.99	0.24	1	Proteobacteria	Gammaproteobacteria	Enterobacterales	Aeromonadaceae	JAGOXX01	NA
INF3_complete.6	INF3	NA	99.96	1.99	1	Proteobacteria	Alphaproteobacteria	Rhizobiales	Pleomorphomonadaceae	Pleomorphomonas	NA
INF3_complete.55	INF3	NA	99.77	0.07	1	Patescibacteria	Saccharimonadia	Saccharimonadales	UBA1547	UBA6175	NA
INF3_semibin2_105	INF3	NA	84.72	3.52	1	Halobacteriota	Methanosarcinia	Methanotrichales	Methanotrichaceae	Methanothrix	NA
INF3_metabat2.372	INF3	NA	77.47	0.07	1	Halobacteriota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	UBA9949	UBA9949 sp012516785
INF3_metabat2.924	INF3	NA	100	0.15	2	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Fuscovulum	Fuscovulum blasticum
INF3_metabat2.437	INF3	NA	99.13	0.54	2	Patescibacteria	JAEDAM01	BD1-5	UBA2023	JABFSX01	NA
INF3_metabat2.32	INF3	NA	97.7	0	2	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Piscinibacter	NA
INF3_metabat2.222	INF3	NA	99.87	0.53	3	Bacteroidota	Bacteroidia	AKYH767	UBA4408	UBA4408	NA
INF3_semibin2_2	INF3	NA	94.35	2.03	4	Bacteroidota	Bacteroidia	AKYH767-A	OLB10	CAINEC01	NA
INF3_semibin2_46	INF3	NA	79.57	2.27	4	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Azonexus	Azonexus sp016709965
INF3_metabat2.501	INF3	NA	71.56	2.29	5	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ideonella	NA
INF3_semibin2_6	INF3	NA	87.47	0.01	7	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	NA
INF3_metabat2.506	INF3	NA	88.04	4.73	8	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Tabrizicola	NA
INF3_metabat2.239	INF3	NA	99.86	1.13	9	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	NA
INF3_semibin2_9	INF3	NA	96.46	1.46	9	Patescibacteria	Saccharimonadia	Saccharimonadales	UBA4665	NA	NA
INF3_semibin2_32	INF3	NA	91.72	9.66	9	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	Microtrichaceae	AWTP1-35	NA
INF3_metabat2.730	INF3	NA	80.89	0.1	9	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Piscinibacter	NA
INF3_metabat2.333	INF3	NA	99.96	1.83	10	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Aquabacterium_A	NA
INF3_metabat2.328	INF3	NA	87.98	4.61	10	Chloroflexota	Anaerolineae	Anaerolineales	EnvOPS12	OLB14	NA
INF3_metabat2.928	INF3	NA	83.6	0.36	11	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	DMER64	DMER64 sp002305545
INF3_metabat2.342	INF3	NA	73.43	9.96	11	Bacteroidota	Bacteroidia	NS11-12g	CAINMV01	CAINMV01	NA
INF3_metabat2.571	INF3	NA	74.73	0.63	12	Bacteroidota	Bacteroidia	AKYH767-A	2013-40CM-41-45	JADKIH01	JADKIH01 sp016708785
INF3_metabat2.522	INF3	NA	85.99	1.84	13	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rhodoferax	NA
INF3_semibin2_38	INF3	NA	72.7	1.82	13	Actinobacteriota	Actinomycetia	Actinomycetales	Dermatophilaceae	Tetrasphaera_A	NA
INF3_metabat2.446	INF3	NA	89.09	9.9	14	Actinobacteriota	Actinomycetia	Propionibacteriales	Nocardioidaceae	Marmoricola	NA
INF3_semibin2_3	INF3	NA	92.63	0.79	17	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira_A	Nitrospira_A sp017986555
INF3_metabat2.551	INF3	NA	76.83	0.25	17	Actinobacteriota	Actinomycetia	Mycobacteriales	Jatrophihabitantaceae	NA	NA
SLU1_complete.14	SLU1	NA	100	4.45	1	Desulfobacterota	Syntrophia	Syntrophales	UBA4778	NA	NA
SLU1_complete.26	SLU1	NA	100	1.65	1	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	NA
SLU1_complete.8	SLU1	NA	100	1.77	1	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	NA
SLU1_complete.23	SLU1	NA	100	1.02	1	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	NA
SLU1_complete.65	SLU1	NA	98.62	0.56	1	Desulfobacterota_G	Syntrophorhabdia	Syntrophorhabdales	Syntrophorhabdaceae	MWEV01	MWEV01 sp002071245
SLU1_complete.43	SLU1	NA	98.43	1.86	1	Planctomycetota	Phycisphaerae	Sedimentisphaerales	SG8-4	PLanc-01	PLanc-01 sp012744475
SLU1_complete.28	SLU1	NA	98.24	1.92	1	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	Bellilinea	NA
SLU1_complete.57	SLU1	NA	97.93	1.64	1	Desulfobacterota_G	Syntrophorhabdia	Syntrophorhabdales	Syntrophorhabdaceae	Syntrophorhabdus	Syntrophorhabdus sp002067585
SLU1_complete.5	SLU1	NA	97.9	0.07	1	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Cryptobacteroides	NA
SLU1_complete.86	SLU1	NA	97.49	1.86	1	Bacteroidota	Bacteroidia	Bacteroidales	4484-276	RZYY01	RZYY01 sp012516825
SLU1_complete.20	SLU1	NA	97.17	0.18	1	Patescibacteria	Paceibacteria	Moranbacterales	GWC2-37-73	UBA1362	UBA1362 sp002306085
SLU1_complete.85	SLU1	NA	96.23	0.04	1	Patescibacteria	ABY1	BM507	UBA917	UBA1359	NA
SLU1_complete.143	SLU1	NA	95.7	0.01	1	Methanobacteriota_B	Thermococci	Methanofastidiosales	Methanofastidiosaceae	Methanofastidiosum	NA
SLU1_complete.38	SLU1	NA	95.69	1.43	1	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	T78	NA
SLU1_complete.19	SLU1	NA	95.23	0.11	1	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	UBA1413	UBA1413 sp002304925
SLU1_complete.165	SLU1	NA	94.71	0.35	1	Firmicutes	Bacilli	ML615J-28	CAG-698	DUNF01	DUNF01 sp012839485
SLU1_complete.48	SLU1	NA	93.94	0.04	1	Firmicutes_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	UBA1422	UBA1422 sp002304835
SLU1_complete.17	SLU1	NA	93.88	0.32	1	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	UBA8199	UBA8199	UBA8199 sp003527065
SLU1_complete.24	SLU1	NA	93.86	0.05	1	Patescibacteria	Paceibacteria	UBA9983_A	UBA5272	UBA5272	NA
SLU1_complete.49	SLU1	NA	93.68	0.03	1	Methanobacteriota_B	Thermococci	Methanofastidiosales	Methanofastidiosaceae	Methanofastidiosum	Methanofastidiosum sp001587595
SLU1_complete.98	SLU1	NA	93.64	6.44	1	Patescibacteria	Dojkabacteria	SC72	SC72	UBA5232	NA
SLU1_complete.60	SLU1	NA	93.43	0.3	1	Firmicutes_G	SHA-98	DTUO25	DTU025	UBA1393	NA
SLU1_semibin2_3	SLU1	NA	91.46	0.19	1	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Brachymonas	Brachymonas denitrificans_A
SLU1_metabat2.42	SLU1	NA	90.06	0.62	1	Micrarchaeota	Micrarchaeia	CAILAH01	CAILAH01	NA	NA
SLU1_semibin2_232	SLU1	NA	85.62	0.24	1	Halobacteriota	Methanosarcinia	Methanotrichales	Methanotrichaceae	Methanothrix	Methanothrix sp017994055
SLU1_metabat2.793	SLU1	NA	78.26	0.27	1	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	UBA6107	NA
